"Part";"Value";"Device";"Package";"Description";"";
"JTMS";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"L3";"BLM18PG471SN1D";"BLM18PG471SN1D";"BEADC1608X95N";"Chip Ferrite Bead";"";
"LPO_IN";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"MISO";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"MOSI";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"PB1";"PTS820";"TACTILE1PTS820-NH";"C&K_PTS820_NO_HOLES";"Tactile Switch SPST-NO Top Actuated Surface Mount";"";
"PGND";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"Q1";"BSS138PS,115";"BSS138PS,115";"SOT65P210X110-6N";"Nexperia BSS138PS,115 Dual N-channel MOSFET, 320 mA, 60 V, 6-Pin SOT-363";"";
"R2";"39R";"RC0402FR-0739RL";"RESC1005X40N";"Res Thick Film 0402 39 Ohm 1% 0.063W ?100ppm/?C Molded SMD Paper T/R";"";
"R3";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R4";"1k";"1K";"0402-TIGHT";"1KΩ resistor";"";
"R5";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R6";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R7";"4.7K";"4.7K";"0402-TIGHT";"4.7KΩ resistor";"";
"R8";"4.7K";"4.7K";"0402-TIGHT";"4.7KΩ resistor";"";
"R9";"150K";"100K";"0402-TIGHT";"150KΩ resistor";"";
"R10";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R11";"150K";"100K";"0402-TIGHT";"150KΩ resistor";"";
"R12";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R13";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R14";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R15";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R16";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R17";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R18";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R19";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R20";"470";"470";"0402-TIGHT";"470Ω resistor";"";
"R21";"470";"470";"0402-TIGHT";"470Ω resistor";"";
"R22";"2K";"2K";"0402-TIGHT";"2KΩ resistor";"";
"R23";"374K";"374K";"0402-TIGHT";"374KΩ resistor";"";
"R24";"1.2M";"1.2M-0402-1/10W-1%";"0402";"1.2MΩ resistor";"";
"R25";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R26";"470";"470";"0402-TIGHT";"470Ω resistor";"";
"R27";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R28";"1M";"1M";"0402-TIGHT";"1MΩ resistor";"";
"RST";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"RX";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"S1";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";
"SCK";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"SUPPLY1";"2PT_GND_TIE";"2PT_GND_TIE";"2PT_GND_TIE";"Dual Ground Supply";"";
"TX";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"U1";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"Atmel SAMD21G SMART ARM-Based Microcontroller";"";
"U3";"NINA-W102";"NINA-W102";"NINAW102";"STAND-ALONE MULTIRADIO MODULE";"";
"U4";"ATECC508A-MAHDA-T";"ATECC508A-MAHDA-T";"SON50P300X200X60-9N";"Microchip ATECC508A-MAHDA-T 10kb 8-Pin Crypto Authentication IC UDFN";"";
"U5";"MCP73831T-4ADI_OT";"MCP73831T-4ADI_OT";"SOT95P270X145-5N";"Battery Management Li-Ion/Li-Poly Charg Mgnt 4.4V Vreg out";"";
"U6";"LM2664M6_NOPB";"LM2664M6_NOPB";"SOT95P280X145-6N";"1.8V to 5.5Vin Switched Capacitor Voltage Converter";"";
"U7";"TPS72325QDBVRQ1";"TPS72325QDBVRQ1";"SOT96P230X110-5N";"Automotive Single Output LDO, 200mA, High PSRR, Low Noise";"";
"U8";"TLV70025DDCR";"TLV70025DDCR";"SOT95P280X110-5N";"200-mA, Low-IQ, Low-Dropout Regulator for Portable Devices";"";
"U9";"LP5912Q3.3DRVRQ1";"LP5912Q3.3DRVRQ1";"DRV0006A";"";"";
"U17";"MPU-6050";"MPU-6050";"MPU6050";"IMUs - Inertial Measurement Units 6-Axis MEMS MotionTracking  Device with DMP";"";
"U18";"LP5912Q3.3DRVRQ1";"LP5912Q3.3DRVRQ1";"DRV0006A";"";"";
"VUSB1";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";
"Y1";"32.768Khz";"ECS-.327-12.5-34B-TR";"ECX-31B";"Crystals 32.768KHz 20ppm 12.5pF -40C +85C";"";
